date,Sunrise,Sunset,Sunrise (civil twilight),Sunset (civil twilight)
2010-01-01,5.8,20.1666666666667,5.31666666666667,20.65
2010-01-02,5.81666666666667,20.1833333333333,5.33333333333333,20.6666666666667
2010-01-03,5.81666666666667,20.1833333333333,5.33333333333333,20.6666666666667
2010-01-04,5.83333333333333,20.1833333333333,5.35,20.6666666666667
2010-01-05,5.85,20.1833333333333,5.36666666666667,20.6666666666667
2010-01-06,5.86666666666667,20.1833333333333,5.38333333333333,20.6666666666667
2010-01-07,5.88333333333333,20.1833333333333,5.4,20.6666666666667
2010-01-08,5.88333333333333,20.1833333333333,5.41666666666667,20.6666666666667
2010-01-09,5.9,20.1833333333333,5.43333333333333,20.6666666666667
2010-01-10,5.91666666666667,20.1833333333333,5.45,20.6666666666667
2010-01-11,5.93333333333333,20.1833333333333,5.45,20.6666666666667
2010-01-12,5.95,20.1833333333333,5.46666666666667,20.65
2010-01-13,5.96666666666667,20.1833333333333,5.48333333333333,20.65
2010-01-14,5.98333333333333,20.1833333333333,5.5,20.65
2010-01-15,6,20.1666666666667,5.51666666666667,20.65
2010-01-16,6.01666666666667,20.1666666666667,5.53333333333333,20.6333333333333
2010-01-17,6.03333333333333,20.1666666666667,5.55,20.6333333333333
2010-01-18,6.05,20.1666666666667,5.56666666666667,20.6333333333333
2010-01-19,6.06666666666667,20.15,5.58333333333333,20.6166666666667
2010-01-20,6.08333333333333,20.15,5.6,20.6166666666667
2010-01-21,6.08333333333333,20.1333333333333,5.61666666666667,20.6
2010-01-22,6.1,20.1333333333333,5.65,20.6
2010-01-23,6.11666666666667,20.1333333333333,5.66666666666667,20.5833333333333
2010-01-24,6.13333333333333,20.1166666666667,5.68333333333333,20.5833333333333
2010-01-25,6.15,20.1166666666667,5.7,20.5666666666667
2010-01-26,6.16666666666667,20.1,5.71666666666667,20.5666666666667
2010-01-27,6.18333333333333,20.1,5.73333333333333,20.55
2010-01-28,6.2,20.0833333333333,5.75,20.5333333333333
2010-01-29,6.21666666666667,20.0666666666667,5.76666666666667,20.5333333333333
2010-01-30,6.23333333333333,20.0666666666667,5.78333333333333,20.5166666666667
